Scientific_Name,Plant_Name,Coverage,Bamboo,Bulb,Grass,Groundcover,Perennial,Palm,Shrub,Succulent,Tree,Vine,Native,Genetic_Concerns,Potentially_Invasive
"Arctostaphylos Viridissima 'White Cloud'","Santa Cruz Island Manzanita",20,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No
"Arctostaphylos X Coloradoensis 'Panchito'","Panchito Manzanita",13,No,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No
"Arctotis Hybrids","African Daisy",1,No,No,No,No,Yes,No,No,No,No,No,No,No,No
"Argemone Corymbosa","Prickly Poppy",5,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No
"Argemone Munita","Prickly Poppy",3,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No
"Argemone Pleiacantha","South Western Prickly Poppy",3,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No
"Argyranthemum Gracile","Chelsea Girl And Other Cvs",2,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Aristida Purpurea","Purple Three-Awn",2,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes
"Aristolochia Californica","California Dutchman's Pipe",79,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
"Artemisia 'Powis Castle'",Wormwood,20,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No
"Artemisia 'sea Foam'","Sea Foam Artemisia",3,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No
"Artemisia Absinthium 'Huntington'",Wormwood,7,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No
"Artemisia Arborescens","Large Wormwood",20,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No
"Artemisia Californica","California Sagebrush",13,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No
"Artemisia Californica 'Canyon Gray'","Canyon Gray Sagebrush",64,No,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No
"Artemisia Californica 'Canyon Grey'","California Sagebrush",28,No,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No
"Artemisia Californica 'Montara'","California Sagebrush",7,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No
"Artemisia Cana Bolanderi","Silver Sage, Bodie Sage",10,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No
"Artemisia Douglasiana",Mugwort,7,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No
"Artemisia Lactiflora 'Guizho","White Mugwort",7,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No
"Artemisia Ludoviciana","White Sagebrush, Western Mugwort",3,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No
"Artemisia Ludoviciana 'silver King'",Wormwood,1,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No
"Artemisia Ludoviciana 'Valerie Finnis'","Silver Wormwood",13,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No
"Artemisia Ludoviciana Albula 'silvery Queen'","Silver Wormwood",3,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No
"Artemisia Ludoviciana Incompta","Silver Wormwood",3,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No
"Artemisia Nova","Black Sagebursh",5,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No
"Artemisia Pycnocephala","Sandhill Sage, Beach Sagebrush",3,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No
"Artemisia Pycnocephala 'David's Choice'","Sand Hill Sage",7,No,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No
"Artemisia Schmidtiana 'silver Mound'","Angel's Hair",1,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No
"Artemisia Spp.",Sagebrush,0,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No
"Artemisia Tridentata","Big Sagebrush",13,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No
"Arum Italicum","Italian Arum",1,No,No,No,No,Yes,No,No,No,No,No,No,No,No
"Arundinaria Gigantea","Cane Reed",1,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes
Asclepias,"Milk Or Silk Weed",2,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No
"Asclepias Asperula","Antelope Horns",2,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No
"Asclepias Californica","California Milkweed",7,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No
"Asclepias Cancellata","Wild Cotton",7,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No
"Asclepias Cordifolia","Purple Milkweed, Heartleaved Milkweed",3,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No
"Asclepias Eriocarpa","California Monarch Milkweed, Indian Milkweed",1,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No
"Asclepias Erosa","California Desert Milkweed",1,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No
"Asclepias Fascicularis","Narrow-Leaved Milkweed",7,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No
"Asclepias Mexicana",Milkweed,3,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No
"Asclepias Physocarpa","Family Jewels Tree",20,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No
"Asclepias Speciosa","Showy Milkweed",7,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No
"Asclepias Spp.",Asclepias,0,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No
"Asclepias Syriaca","Virginia Silk",1,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No
"Asclepias Vestita","Woolly Milkweed",3,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No
"Asphodeline Lutea","Jacob's Rod Or Kings Spear",7,No,No,No,No,Yes,No,No,No,No,No,No,No,No
"Asphodeline Taurica",Asphodel,1,No,No,No,No,Yes,No,No,No,No,No,No,No,No
"Aspidistra Elatior","Cast Iron Plant",2,No,No,No,No,Yes,No,No,No,No,No,No,No,No
"Asplenium Scolopendrium","Hart's  Tongue Fern",1,No,No,No,No,Yes,No,No,No,No,No,No,No,No
"Atriplex Ca Native Species",Saltbush,16,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No
"Atriplex Californica",Saltbush,1,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes
"Atriplex Canescens","Four-Wing Salt Bush",16,No,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes
"Atriplex Hymenelytra","Desert Holly",3,No,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes
"Atriplex Lentiformis 'Naomi'","Quail Bush",16,No,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes
"Atriplex Lentiformis Lentiformis","Salt Bush",16,No,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes
"Atriplex Lentiformis Ssp Breweri","Quail Bush, Brewers Salt Bush",16,No,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes
"Atriplex Leucophylla","Beach Saltbush",4,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes
"Atriplex Polycarpa","Alkali Saltbush",16,No,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes
"Atriplex Spinifera",Spinescale,16,No,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes
"Atriplex Spp.",Saltbush,0,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes
"Atriplex Watsonii","Watson's Saltbush, Mat Scale",16,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes
"Aubrieta Deltoidea","Rock Cress",2,No,No,No,No,Yes,No,No,No,No,No,No,No,No
"Aurinia Saxatilis","Hardy Alyssum Or Basket Of Gold",1,No,No,No,No,Yes,No,No,No,No,No,No,No,No
"Babiana Stricta","Baboon Flower",0.25,No,Yes,No,No,No,No,No,No,No,No,No,No,No
"Baccharis Magellanica","Christmas Bush",20,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No
"Baccharis Pilularis (All Varieties)","Dwarf Coyote Brush",28,No,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No
"Baccharis Pilularis Consanguinea","Coyote Brush",28,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No
"Baccharis Salicifolia","Mule Fat",50,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No
"Baccharis Spp.","Coyote Brush",0,No,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No
"Baccharis X 'starn","Thompson Coyote Brush",16,No,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No
"Baeckea Virgata","Tall Baeckia",13,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No
"Baeckea Virgata","Tall Baeckia (Shrub Form Only)",16,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No
"Baileya Multiradiata","Desert Marigold",2,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes
"Ballota Pseudodictamnus","Grecian Horehound",3,No,No,No,No,Yes,No,No,No,No,No,No,No,No
"Bambusa Beecheyana","Beechey Bamboo",50,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
"Bambusa Dolichomerithalla","Blowpipe Bamboo",50,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
"Bambusa Dolichomerithalla 'Green Stripe'","Green Stripe Blowgun Bamboo",50,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
"Bambusa Lako","Timor Black Bamboo",28,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
"Bambusa Malingensis","Seabreeze Bamboo",16,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
"Bambusa Multiplex","Hedge Bamboo",50,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
"Bambusa Multiplex 'Alphonso-Karr'","Alphonse Karr Bamboo",44,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
"Bambusa Multiplex 'Golden Goddess'","Golden Goddess Bamboo",50,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
"Bambusa Multiplex 'Green Alphonse Karr'","Alphonse Karr Bamboo",50,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
"Bambusa Multiplex 'Green Hedge'","Green Hedge Bamboo",50,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
"Bambusa Multiplex 'Riviereorum'","Chinese Goddess Bamboo",16,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
"Bambusa Oldhamii","Giant Timber Bamboo",50,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
"Bambusa Spp.",Bamboo,0,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
"Bambusa Textilis","Weaver's Bamboo",50,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
"Bambusa Textilis 'Kanapaha'","Kanapaha Bamboo",50,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
"Bambusa Textilis Gracilis","Graceful Weaver's Bamboo",28,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
"Bambusa Tuldoides","Punting Pole Bamboo",50,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
"Bambusa Ventricosa","Buddha's Belly Bamboo",50,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
"Bambusa Vulgaris 'Vittata'","Painted Bamboo",44,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
"Bambusa Vulgaris 'Wamin'","Dwarf Buddha Belly",44,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
"Banksia Baxteri","Bird's Nest Banksia",44,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Banksia Ericifolia","Heath-Leafed Banksia",64,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No
"Banksia Integrifolia","Tree Banksia",113,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No
"Banksia Integrifolia","Tree Banksia (Shrub Form Only)",177,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No
"Banksia Menziesii","Firewood Banksia",123,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Banksia Praemorsa","Cut-Leaf Banksia",28,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No
"Banksia Praemorsa","Cut-Leaf Banksia",38,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No
"Banksia Speciosa","Showy Banksia",133,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No
"Banksia Speciosa","Showy Banksia (Shrub Form Only)",79,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No
"Baptisia Australis","False Indigo",3,No,No,No,No,Yes,No,No,No,No,No,No,No,No
"Bauhinia Galpinii","Red Orchid Bush",113,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No
"Bauhinia Galpinii","Red Orchid Bush (Shrub Form Only)",177,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No
"Beaucarnea Recurvata","Ponytail Palm",64,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No
"Beaucarnea Recurvata (Nolina Recurvata)","Ponytail Palm",95,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No
"Beaucarnea Stricta","Bottle Palm",177,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Berberis Aquifolium Var. Repens","Oregon Grape",13,No,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No
"Berberis Nevinii","Nevin Barberry",50,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No
"Berberis Pinnata","Shinyleaf Mahonia, California Barberry",3,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No
"Berlandiera Lyrata","Chocolate Scented Daisy",1,No,No,No,No,Yes,No,No,No,No,No,No,No,No
"Beschorneria Albiflora","Trunking Beschorneria",13,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Beschorneria Yuccoides","Mexican Lily",28,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Bidens Triplinervia",Tickseed,1,No,No,No,No,Yes,No,No,No,No,No,No,No,No
"Bloomeria Crocea","Golden Stars",1,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No
"Boltonia Asteroides","False Chamomile",13,No,No,No,No,Yes,No,No,No,No,No,No,No,No
"Bothriochloa Barbinodis","Cane Bluestem",8,No,No,No,No,Yes,No,No,No,No,No,No,No,No
"Bougainvillea 'Baby Mia'","Bambino Baby Mia Bougainvillea",13,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No
"Bougainvillea 'Bambino' Series",Bougainvillea,13,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No
"Bougainvillea 'Barbara Karst'","Barbara Karst Bougainvillea",38,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No
"Bougainvillea 'Bengal Orange'","Bengal Orange Bougainvillea",38,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No
"Bougainvillea 'Blueberry Ice'","Blueberry Ice Bougainvillea",24,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No
"Bougainvillea 'California Gold'","California Gold Bougainvillea",79,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No
"Bougainvillea 'Cherry Blossom'","Cherry Blossom Bougainvillea",79,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No
"Bougainvillea 'Delta Dawn'","Delta Dawn Bougainvillea",10,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No
"Bougainvillea 'James Walker'","James Walker Bougainvillea",79,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No
"Bougainvillea 'La Jolla'",Bougainvillea,16,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No
"Bougainvillea 'Manila Red'","Manila Red Bougainvillea",79,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No
"Bougainvillea 'Mary Palmer's Nchantment'","Mary Palmer's Enchantment Bougainvillea",79,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No
"Bougainvillea 'Miami Pink'","Miami Pink Bougainvillea",79,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No
"Bougainvillea 'Monan'","Tahitian Dawn Bougainvillea",79,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No
"Bougainvillea 'Monas'","Texas Dawn Bougainvillea",79,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No
"Bougainvillea 'Moncliff'","Gold Rush Bougainvillea",79,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No
"Bougainvillea 'Moneth'","Purple Queen Bougainvillea",38,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No
"Bougainvillea 'Monio'","Don Mario Bougainvillea",79,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No
"Bougainvillea 'Monka'","Oo-La-La Bougainvillea",38,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No
"Bougainvillea 'Monle'","Camarillo Fiesta Bougainvillea",79,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No
"Bougainvillea 'Monsam'","Golden Jackpot Bougainvillea",16,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No
"Bougainvillea 'Oransenka'",Bougainvillea,20,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No
"Bougainvillea 'Raspa Raspberry'","Raspa Raspberry Bougainvillea",2,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No
"Bougainvillea 'Raspberry Ice'","Variegated Red Bush Bougainvillea",24,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No
"Bougainvillea 'Rosenka'",Bougainvillea,20,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No
"Bougainvillea 'Rpboug 327'","Vera Deep Purple Bougainvillea",1,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No
"Bougainvillea 'scarlett O'Hara'","Scarlett O'Hara Bougainvillea",79,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No
"Bougainvillea 'sharon Wesley'","Sharon Wesley Bougainvillea",79,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No
"Bougainvillea 'singapore Pink'","Silhouette Bougainvillea",10,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No
"Bougainvillea 'singapore White'",Bougainvillea,13,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No
"Bougainvillea 'surprise'","Surprise Bougainvillea",79,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No
"Bougainvillea 'Temple Fire'",Bougainvillea,28,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No
"Bougainvillea 'Torch Glow'","Torch Glow Bougainvillea",7,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No
"Bougainvillea 'Vicky'","Vicky Bougainvillea",79,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No
"Bougainvillea Glabra 'Yani's Delight'","Yani's Delight Bougainvillea",5,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No
"Bougainvillea Spectabilis 'White Stripe'","White Stripe Bougainvillea",79,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No
"Bougainvillea Spp.",Bougainvillea,0,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No
"Bougainvillea X 'Kasumi'","Sunvillea Pink Dwarf Bougainvillea",3,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No
"Bougainvillea X 'Koiro'","Sunvillea Rose Dwarf Bougainvillea",3,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No
"Bougainvillea X 'sasara'","Sunvillea Cream Dwarf Bougainvillea",3,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No
"Bougainvillea X Buttiana 'Orange King'","Orange King Bougainvillea",79,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No
"Bouteloua Curtipendula","Sideoats Gramma",3,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No
"Bouteloua Gracilis","Blue Gramma",1,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No
"Brachychiton Acerifolius","Flame Tree",500,No,No,No,No,No,No,No,No,Yes,No,No,No,No
"Brachychiton Populneus","Bottle Tree",500,No,No,No,No,No,No,No,No,Yes,No,No,No,No
"Brachyglottis Greyi",Groundsel,28,No,No,No,No,Yes,No,No,No,No,No,No,No,No
"Brahea Armata","Blue Hesper Palm",44,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
"Brahea Armata","Blue Hesper Palm",38,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
"Brahea Brandegeei","San Jose Hesper Palm",254,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
"Brahea Brandegeei","San Jose Hesper Palm",28,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
"Brahea Edulis","Guadalupe Palm",154,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
"Brickellia Californica",Brickellbush,20,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No
"Briza Media","Quaking Grass",1,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes
"Brodiaea Spp.",Brodiaea,0.1,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No
"Bromus Carinatus","California Brome",3,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No
"Buchloe Dactyloides","Uc Verde Buffalo Grass",1,No,No,Yes,No,No,No,No,No,No,No,No,No,No
"Buddleja Alternifolia","Fountain Butterfly Bush",177,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Buddleja Lindleyana","Weeping Butterfly Bush",33,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Bulbine Frutescens","Stalked Bulbine",5,No,No,No,No,Yes,No,No,No,No,No,No,No,No
"Bulbine Latifolia",Rooiwortel,7,No,No,No,No,Yes,No,No,No,No,No,No,No,No
"Bulbinella Elegans","Cat's Tail Lily",2,No,Yes,No,No,No,No,No,No,No,No,No,No,No
"Bulbinella Floribunda","Yellow Cat Tail",3,No,Yes,No,No,No,No,No,No,No,No,No,No,No
"Bulbinella Hookeri","Maori Onion",3,No,Yes,No,No,No,No,No,No,No,No,No,No,No
"Bulbinella Nutans",Bulbinella,3,No,Yes,No,No,No,No,No,No,No,No,No,No,No
"Bulbinella Robusta",Bulbinella,3,No,Yes,No,No,No,No,No,No,No,No,No,No,No
"Bupleurum Fruticosum","Shrubby Hare's Ear",57,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Butia Odorata","Pindo Palm",123,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
"Butia Odorata (Butia Capitata)","Pindo Palm",133,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
"Caesalpinia Gilliesii","Desert Bird Of Paradise",28,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Caesalpinia Pulcherrima","Dwarf Poinciana",38,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Calandrinia Spp. And Cvs.","Rock Purslane",7,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No
"Callirhoe Involucrata","Wine Cups",7,No,No,No,No,Yes,No,No,No,No,No,No,No,No
"Callistemon 'Cane's Hybrid'","Cane's Hybrid Bottlebrush",95,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Callistemon 'Jeffers'","Jeffer's Bottlebrush",20,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Callistemon 'Little John'","Little John Bottlebrush",20,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Callistemon 'Violaceus'","Purple Bottle Brush",33,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Callistemon Citrinus","Bottle Brush",133,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No
"Callistemon Citrinus","Bottle Brush (Shrub Form Only)",79,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No
"Callistemon Pinifolius","Pine-Leafed Bottlebrush",50,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No
"Callistemon Pinifolius","Pine-Leafed Bottlebrush",28,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No
"Callistemon Rigidus","Erect Bottlebrush",50,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Callistemon Salignus","Pink Tips/White Bottlebrush",133,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No
"Callistemon Salignus","Pink Tips; White Bottlebrush (Shrub Form Only)",79,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No
"Callistemon Subulatus","Callistemon (Subulatus)",57,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No
"Callistemon Subulatus","Callistemon (Subulatus)",38,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No
"Callistemon Viminalis","Weeping Bottle Brush",20,No,No,No,No,No,No,No,No,Yes,No,No,No,No
"Callistemon Viminalis","Weeping Bottle Brush (Shrub Form Only)",177,No,No,No,No,No,No,No,No,Yes,No,No,No,No
"Calocephalus Brownii","Cushion Bush",7,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Calochortus Spp.","Mariposa Lily",2,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No
"Calodendrum Capense","Cape Chestnut",500,No,No,No,No,No,No,No,No,Yes,No,No,No,No
"Calothamnus Quadrifidus","Net Bush",33,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Calylophus Berlandieri",Sundrops,5,No,No,No,No,Yes,No,No,No,No,No,No,No,No
"Calylophus Drummondiana","Texas Primrose",3,No,No,No,No,Yes,No,No,No,No,No,No,No,No
"Calylophus Hartwegii","Sierra Sundrop",3,No,No,No,No,Yes,No,No,No,No,No,No,No,No
"Calystegia Macrostegia","Morning Glory",7,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
"Calystegia Purpurata Ssp. Purpurata","Coast Morning Glory",79,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
"Camissonia Cherianthifolia","Beach Evening Primrose",7,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No
"Campsis Grandiflora 'Morning Calm'","Morning Calm Trumpet Creeper, Trumpet Vine",64,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
"Campsis Radicans","Trumpet Creeper",44,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
"Campsis Radicans 'Flava'","Yellow Trumpet Creeper",38,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
"Campsis Radicans 'Monbal'","Balboa Sunset Trumpet Vine, Trumpet Creeper, Cow I",79,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
"Campsis Spp.","Trumpet Creeper",0,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
"Campsis X 'Takarazuka Zujin'","Summer Jazz Tangerine Trumpet Vine",7,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
"Campsis X Tagliabuana 'Kudian'","Indian Summer Trumpet Vine",10,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
"Campsis X Tagliabuana 'Madame Galen'","Madame Galen Trumpet Creeper, Trumpet Vine",64,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
"Campsis X Tagliabuana 'Rutcam'","Hot Lips Trumpet Creeper",79,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
"Campsis X Tagliabuana 'Takarazuka Fresa'","Summer Jazz Fire Trumpet Vine",16,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
"Campsis X Tagliabuana 'Takarazuka Gold'","Summer Jazz Sunrise Gold Trumpet Vine",13,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
"Capparis Spinosa","Caper Bush",20,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Carex Divulsa","European Gray Sedge",3,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes
"Carex Pansa","Dune Sedge",3,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No
"Carex Subfusca","Rusty Sedge",2,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No
"Carex Texensis","Catlin Sedge",1,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes
"Carex Tumulicola","Foothill Sedge",2,No,No,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No
"Carissa Grandiflora","Natal Plum",38,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes
